,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SEK,TRY,ZAR
2016-08-12,-0.11655126455145635,0.6919835141131627,0.037901388609050166,-0.21512954666181527,0.643667105499539,0.9105443788584497,1.4313165692892407,0.8563040325206532,0.1801538474208647,0.1093976105967548,1.0798134542752194,2.2425964011574933,-0.015325611265670365,2.918807254941259,-0.018084296407496547,0.26681229040189275,1.1346498970053653,-0.15656921192364415,-0.05574740686144652,1.1429981700217393,1.8143770261386003,-0.05730081576941498,1.4524738905690369,1.4155671027822068
2016-08-15,-0.11542559520744758,0.6937914301187142,0.03534737437898668,-0.21610000468158613,0.6439167220876115,0.9108115177944668,1.4441271765296795,0.8532478924004679,0.17813263132089652,0.1140935434048772,1.0711443329369998,2.2404736278353576,-0.01724736142534518,2.9187731810112485,-0.016890036472113956,0.2668521118138496,1.1106457041539755,-0.15678239670765104,-0.05327922484657147,1.1403213648348192,1.780456684183712,-0.05577306585260222,1.4458205111343319,1.3837281036657942
2016-08-16,-0.1146906178623167,0.7069424430355532,0.03336235097102785,-0.22291995022303068,0.6475149671310115,0.9073991932053794,1.435405131992776,0.8430232127831291,0.1716298490548952,0.10652703217186678,1.0629802336264556,2.2363805252038387,-0.02051147860934075,2.913860508269798,-0.022430468785780446,0.25420852913581005,1.108140019539307,-0.155659251079539,-0.05806635518443922,1.1309682892632384,1.7857535042624695,-0.058873786114282296,1.4349461330362296,1.39724294053656
2016-08-17,-0.10950813143175012,0.7232065819436617,0.031308775671349605,-0.22370418263281167,0.6684970427942556,0.908918894116012,1.4302130356511602,0.8404102520584847,0.17001709513166832,0.10251633832596815,1.0688123019558546,2.2363444304253957,-0.018142277565384102,2.913812660931445,-0.024047994175740526,0.2726946442026647,1.1302102875741127,-0.1551135030267133,-0.05541061853343,1.1384568970742572,1.7817819265647847,-0.059297158067217,1.4353566839445167,1.4162087632013427
2016-08-18,-0.1144279431358041,0.7272657041648388,0.02437008593489034,-0.22762998714773322,0.6603510835615509,0.9078368931219496,1.403693681535224,0.8319825448144942,0.16457587337063964,0.08987455655142675,1.0535635985065839,2.241446897181784,-0.02467676831791612,2.9165189999304753,-0.02527077033482839,0.2711948917977521,1.1171274169835164,-0.16153049180403137,-0.06132814600294455,1.1287718885581086,1.7690863371500904,-0.06488785354548827,1.4344683607378435,1.3950121860200326
2016-08-19,-0.10817702140614395,0.7274821833818225,0.03236445782397258,-0.2262804250663547,0.676526272547021,0.9143315020174855,1.38030410638374,0.83263154883758,0.16500312430582598,0.09899379096378881,1.053955593874011,2.2515434030659187,-0.025922921953609946,2.929505454694863,-0.0253274678790217,0.28313700473918557,1.134886294711046,-0.1567266225996632,-0.059668448654554375,1.137470424585697,1.7751632609731312,-0.06265812462745396,1.4343625224572538,1.4217327395766826
2016-08-22,-0.1098590627438083,0.7227657593299535,0.035732308674053866,-0.22451210433771684,0.6929049717785857,0.9149569762296469,1.4038885708407167,0.8321474370208967,0.1644190195903437,0.09099622692056522,1.0540114724742031,2.2652092473581864,-0.02290340811458668,2.938318674449408,-0.02397766606768486,0.29360154005136624,1.1403549063035103,-0.1559594668328348,-0.06296859418133721,1.1345235310796902,1.8030872865177425,-0.06528466999772425,1.4452358949410873,1.4374905316917685
2016-08-23,-0.11152429599670702,0.7173002357938014,0.031844942741131976,-0.2249012158269758,0.6946548117547396,0.9129093366247168,1.4212859244940508,0.8329987012268789,0.16531067633049634,0.08793687053885803,1.0517386529810084,2.2668170839970476,-0.025032051637883787,2.930489376180711,-0.02540017354132239,0.2809523735206403,1.1406140527385025,-0.15905055850689886,-0.06750439721998683,1.1323520183900126,1.7937448480750617,-0.06595484625553243,1.44134825913202,1.4210199401039616
2016-08-24,-0.10682184477377638,0.7319821824689496,0.03813335738862285,-0.21972725538669166,0.7026850061254609,0.917888261723102,1.4585111578318515,0.8447588813398925,0.17277272402162933,0.08272710408334479,1.0641828625093825,2.2738612738731603,-0.025486953116316474,2.934081145576167,-0.021408618458527633,0.2882409252553919,1.1674125030762974,-0.15377723375165334,-0.06572343762338002,1.1516471575771399,1.8258316786825939,-0.05941710466347543,1.4536528292346484,1.5414412406835805
2016-08-25,-0.1070085479081703,0.7344348803469563,0.03683523575972543,-0.2195483253311714,0.6873765832895269,0.9176241618943433,1.4344949196259376,0.8395211466988656,0.16933505433667928,0.08758765360345758,1.0543910651346022,2.2723686281535125,-0.027690329010894636,2.9294879277416412,-0.02168359506904232,0.28116441176020873,1.158999179002134,-0.15591685107256367,-0.06465141063090644,1.1552227046183339,1.810779515565058,-0.060683657814081644,1.44172003964756,1.56195382589835
2016-08-26,-0.11211287058474022,0.717839942979947,0.03327092021554371,-0.21903055221465362,0.680874214927068,0.9204385497016166,1.397403634114007,0.8395968610808888,0.1695259950455672,0.08657728945750298,1.0497895149486605,2.2639288454788398,-0.027202102132701047,2.9305053437673303,-0.02193992993398464,0.2787002915964929,1.1364125611104117,-0.1587569932290243,-0.07057655651612418,1.1492422386124919,1.792657663594879,-0.06031756448315425,1.4383212974088386,1.5260362466737911
2016-08-30,-0.09514010676033238,0.7473061185053208,0.04919833388576474,-0.20822448301966687,0.7113191818316205,0.9249976001542904,1.4474136692516775,0.8610505688843277,0.1830068223223214,0.0954975442295856,1.081984620140564,2.2812758927048287,-0.019072927701433564,2.9305977170480526,0.00019115372235668614,0.28587590667698337,1.2023217485795863,-0.14235759871077502,-0.05384060478835086,1.195207562614845,1.833239284548571,-0.04491371778698551,1.4627410144809954,1.6028831122387803
2016-08-31,-0.09546956776819994,0.7330302039999518,0.052118895034794874,-0.20765211308867945,0.7214952166303846,0.9243704763989348,1.4641773270816931,0.8638692915347695,0.18452055064024106,0.09548701767330067,1.084514559720588,2.2781405438525737,-0.021275964439869354,2.9255171806966085,0.006517265408184195,0.2801926747193897,1.209234269411102,-0.14302715984011813,-0.058485619371931426,1.1961858097662197,1.8380644591347564,-0.041651575038375264,1.4597574522221939,1.6445516293889264
2016-09-01,-0.09923400400517547,0.7436045677542066,0.04976504109001999,-0.20955696124206175,0.7233475253000808,0.9230894344807815,1.4891086527303312,0.8540416449597558,0.17862334448440062,0.07872135326219193,1.0775916196413964,2.278929735789652,-0.0240394654993511,2.9269735079909234,0.004335378129080534,0.2884378548514844,1.2097219584040435,-0.1437648755342284,-0.06295602542803913,1.1957541919391361,1.8598090868314991,-0.042988714219424615,1.4638166820980816,1.6358685265500603
2016-09-02,-0.09958440943182302,0.7408054636436167,0.04405929492218216,-0.2094044682922981,0.7106538108140213,0.9253370703745982,1.4717362255986315,0.8590402591740302,0.18185849858874958,0.07790936485308671,1.083057096962778,2.2736819851425936,-0.027053422382455613,2.918660398624885,0.013531644245704721,0.2827544593102241,1.1865806202240186,-0.14406146777234416,-0.06223601203429706,1.1981285893967404,1.8330112117843151,-0.0409251024757086,1.4604833443765384,1.6003967406940238
2016-09-06,-0.11417523192787281,0.7353857213246554,0.029846667761354036,-0.21580144135472903,0.6890368050930799,0.9201164521568546,1.4108704981111686,0.8464531060587126,0.17385424917784947,0.06827875578577043,1.0657563307029443,2.2439177286217364,-0.028946892081313524,2.9002306387086447,-0.005217948375460478,0.2690902738568395,1.1480609333191094,-0.15854562453025547,-0.07778795807182433,1.1655862768483205,1.806459196641188,-0.05303739961494435,1.4359210361809445,1.5255703418277173
2016-09-07,-0.11437279340249257,0.7123712570351872,0.034764920462656085,-0.2185485539968945,0.6764595142312864,0.9174392406782619,1.368757788040545,0.8458193700967971,0.17343615445328292,0.07517384083341526,1.0613929021161774,2.2336785335953673,-0.030386506921935934,2.8908620815787374,-0.010537240353650933,0.25160311052962314,1.1519158899468562,-0.16008358411408355,-0.08339595454464745,1.162093907590581,1.7990210694099888,-0.05634328995669962,1.4389834226027043,1.5258717171035228
